# index, name, nodeLabel, _pos
166,GNAZ,GNAZ,"array([3.57619643, 7.14572074])"
167,GNAO1,GNAO1,"array([3.60126048, 7.11383101])"
168,GNAI2,GNAI2,"array([3.59564463, 7.13729826])"
169,GNAI3,GNAI3,"array([3.59121337, 7.13629813])"
170,HSF2,HSF2,"array([3.70422426, 7.16100103])"
171,UBE2I,UBE2I,"array([3.65322109, 7.15487039])"
172,LIMK1,LIMK1,"array([3.60334573, 7.14430953])"
173,NRG1,NRG1,"array([3.53805042, 7.07716228])"
174,FGF7,FGF7,"array([3.58345454, 7.07096703])"
175,HSPG2,HSPG2,"array([3.56015474, 7.18348557])"
176,MAD2L2,MAD2L2,"array([3.69332195, 7.20093976])"
177,P4HA2,P4HA2,"array([3.5492988 , 7.30690119])"
178,CCR10,CCR10,"array([3.65128059, 7.49735342])"
179,C1QBP,C1QBP,"array([3.62665459, 7.23250789])"
180,EIF3E,EIF3E,"array([3.65891446, 7.22784157])"
181,GANAB,GANAB,"array([3.63553722, 7.19492551])"
182,HNRNPA1,HNRNPA1,"array([3.66067749, 7.22366007])"
183,PSMA3,PSMA3,"array([3.62383059, 7.20959479])"
184,HNRNPM,HNRNPM,"array([3.65539432, 7.22936356])"
185,MAN2C1,MAN2C1,"array([3.59272557, 7.33057586])"
186,SSR3,SSR3,"array([3.63437262, 7.29602541])"
187,DDX20,DDX20,"array([3.66335656, 7.25333265])"
188,UBAP2L,UBAP2L,"array([3.68792051, 7.21758403])"
189,IMMT,IMMT,"array([3.6429016 , 7.22446552])"
190,CPSF1,CPSF1,"array([3.703503  , 7.21833641])"
191,PRMT2,PRMT2,"array([3.71696912, 7.20918568])"
192,QARS,QARS,"array([3.65463483, 7.21194381])"
193,IFT88,IFT88,"array([3.53082943, 7.36236761])"
194,BAG6,BAG6,"array([3.60586993, 7.18756288])"
195,HTT,HTT,"array([3.66088656, 7.32428042])"
196,SETD2,SETD2,"array([3.7172621 , 7.21186649])"
197,HAP1,HAP1,"array([3.64657528, 7.22421101])"
